source	source_number	source_name	target	target_number	target_name	distance	line_number
171	1023	潘家园	170	1022	劲松	2	10
172	1024	十里河	171	1023	潘家园	2	10
173	1025	分钟寺	172	1024	十里河	3	10
174	1026	成寿寺	173	1025	分钟寺	2	10
175	1027	宋家庄	174	1026	成寿寺	3	10
176	1028	石榴庄	175	1027	宋家庄	2	10
177	1029	大红门	176	1028	石榴庄	3	10
178	1030	角门东	177	1029	大红门	1	10
179	1031	角门西	178	1030	角门东	3	10
180	1032	草桥	179	1031	角门西	3	10
181	1033	纪家庙	180	1032	草桥	2	10
182	1034	首经贸	181	1033	纪家庙	3	10
183	1035	丰台站	182	1034	首经贸	3	10
184	1036	泥洼	183	1035	丰台站	3	10
185	1037	西局	184	1036	泥洼	2	10
186	1038	六里桥	185	1037	西局	3	10
187	1039	莲花桥	186	1038	六里桥	3	10
188	1040	公主坟	187	1039	莲花桥	2	10
189	1041	西钓鱼台	188	1040	公主坟	3	10
190	1042	慈寿寺	189	1041	西钓鱼台	3	10
191	1043	车道沟	190	1042	慈寿寺	2	10
192	1044	长春桥	191	1043	车道沟	2	10
193	1045	火器营	192	1044	长春桥	2	10
149	1001	巴沟	193	1045	火器营	3	10
194	1301	西直门	195	1302	大钟寺	3	13
195	1302	大钟寺	196	1303	知春路	2	13
196	1303	知春路	197	1304	五道口	3	13
197	1304	五道口	198	1305	上地	6	13
198	1305	上地	199	1306	西二旗	3	13
199	1306	西二旗	200	1307	龙泽	5	13
200	1307	龙泽	201	1308	回龙观	2	13
201	1308	回龙观	202	1309	霍营	3	13
202	1309	霍营	203	1310	立水桥	4	13
203	1310	立水桥	204	1311	北苑	4	13
204	1311	北苑	205	1312	望京西	7	13
205	1312	望京西	206	1313	芍药居	3	13
206	1313	芍药居	207	1314	光熙门	2	13
207	1314	光熙门	208	1315	柳芳	2	13
208	1315	柳芳	209	1316	东直门	2	13
195	1302	大钟寺	194	1301	西直门	3	13
196	1303	知春路	195	1302	大钟寺	2	13
197	1304	五道口	196	1303	知春路	3	13
198	1305	上地	197	1304	五道口	6	13
199	1306	西二旗	198	1305	上地	3	13
200	1307	龙泽	199	1306	西二旗	5	13
201	1308	回龙观	200	1307	龙泽	2	13
202	1309	霍营	201	1308	回龙观	3	13
203	1310	立水桥	202	1309	霍营	4	13
204	1311	北苑	203	1310	立水桥	4	13
205	1312	望京西	204	1311	北苑	7	13
206	1313	芍药居	205	1312	望京西	3	13
207	1314	光熙门	206	1313	芍药居	2	13
208	1315	柳芳	207	1314	光熙门	2	13
209	1316	东直门	208	1315	柳芳	2	13	14
210	1401	张郭庄	211	1402	园博园	2	14
211	1402	园博园	212	1403	大瓦窑	9	14
212	1403	大瓦窑	213	1404	郭庄子	3	14
213	1404	郭庄子	214	1405	大井	3	14
214	1405	大井	215	1406	七里庄	3	14
215	1406	七里庄	216	1407	西局	1	14
211	1402	园博园	210	1401	张郭庄	2	14
212	1403	大瓦窑	211	1402	园博园	9	14
213	1404	郭庄子	212	1403	大瓦窑	3	14
214	1405	大井	213	1404	郭庄子	3	14
215	1406	七里庄	214	1405	大井	3	14
216	1407	西局	215	1406	七里庄	1	14
217	1501	俸伯	218	1502	顺义	2	15
